city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fairbanks,US,64.8378,-147.7164,53.1,75,0,1.01,clear sky
79,Victoria,HK,22.2855,114.1577,83.32,88,100,13.0,overcast clouds
80,Chokurdakh,RU,70.6333,147.9167,52.41,69,0,8.79,clear sky
81,Yaqui,MX,27.3667,-110.1667,82.96,49,96,1.43,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,66.09,73,21,3.98,few clouds
83,Mar Del Plata,AR,-38.0023,-57.5575,57.94,57,75,11.5,broken clouds
84,Kalianget,ID,-7.05,113.9333,80.71,78,66,10.58,broken clouds
85,Vaini,TO,-21.2,-175.2,77.16,94,20,10.36,few clouds
86,Sitka,US,57.0531,-135.33,57.09,82,100,3.44,overcast clouds
87,Labuhan,ID,-6.8844,112.2051,77.67,87,57,7.34,broken clouds
88,Tukrah,LY,32.5341,20.5791,82.29,57,0,8.41,clear sky
89,East London,ZA,-33.0153,27.9116,64.11,73,75,4.29,broken clouds
90,Poum,NC,-20.2333,164.0167,69.22,58,0,22.48,clear sky
91,Kodiak,US,57.79,-152.4072,56.71,88,100,0.0,overcast clouds
92,Gonen,TR,40.1049,27.654,76.96,78,8,13.47,clear sky
93,Grand Gaube,MU,-20.0064,57.6608,70.38,60,49,10.0,scattered clouds
94,Camacha,PT,33.0833,-16.3333,71.02,68,20,16.11,few clouds
95,Baruun-Urt,MN,46.6806,113.2792,58.12,47,51,6.04,broken clouds
96,Mitsamiouli,KM,-11.3847,43.2844,76.35,73,42,8.14,scattered clouds
97,Laguna,US,38.421,-121.4238,81.97,52,0,6.91,clear sky
98,Port Alfred,ZA,-33.5906,26.891,61.18,83,85,7.23,overcast clouds
99,Rikitea,PF,-23.1203,-134.9692,73.06,77,100,24.76,overcast clouds
100,Nouadhibou,MR,20.931,-17.0347,76.98,69,0,23.02,sand
101,Cayeli,TR,41.0923,40.7292,77.25,87,53,4.41,broken clouds
102,Ostrovnoy,RU,68.0531,39.5131,59.11,84,87,18.61,light rain
103,Srednekolymsk,RU,67.45,153.6833,57.85,80,6,4.88,clear sky
104,Albany,US,42.6001,-73.9662,78.17,67,66,4.92,broken clouds
105,Kavieng,PG,-2.5744,150.7967,79.36,79,100,3.02,overcast clouds
106,Nome,US,64.5011,-165.4064,48.27,93,100,12.66,overcast clouds
107,Kanye,BW,-24.9667,25.3327,58.89,28,0,3.53,clear sky
108,Petropavl,KZ,54.8753,69.1628,61.83,89,82,7.16,broken clouds
109,Gweta,BW,-20.1833,25.2333,69.33,20,0,9.95,clear sky
110,Verkhnyaya Inta,RU,65.9811,60.3094,50.95,66,61,8.99,broken clouds
111,Vicksburg,US,32.3526,-90.8779,87.53,70,75,6.91,broken clouds
112,Khatanga,RU,71.9667,102.5,45.3,68,97,13.94,overcast clouds
113,Abu Kamal,SY,34.4506,40.9171,94.48,22,0,10.11,clear sky
114,Gujrat,PK,32.5728,74.079,91.36,60,3,5.28,clear sky
115,Jacmel,HT,18.2342,-72.5347,91.24,63,9,8.63,clear sky
116,Provideniya,RU,64.3833,-173.3,50.23,89,100,6.13,overcast clouds
117,Itoman,JP,26.1247,127.6694,84.22,82,40,4.61,haze
118,Port Elizabeth,ZA,-33.918,25.5701,59.31,90,71,1.99,broken clouds
119,Bad Doberan,DE,54.1071,11.9005,75.52,56,10,1.01,clear sky
120,Shingu,JP,33.7333,135.9833,78.3,92,100,1.66,overcast clouds
121,Esperance,AU,-33.8667,121.9,57.07,69,97,22.95,overcast clouds
122,Rio Grande,BR,-32.035,-52.0986,66.31,73,51,14.32,broken clouds
123,Naze,JP,28.3667,129.4833,81.52,77,86,3.71,overcast clouds
124,Leningradskiy,RU,69.3833,178.4167,41.63,92,98,4.56,overcast clouds
125,Huilong,CN,31.8111,121.655,86.94,86,97,10.54,overcast clouds
126,Bairiki,KI,1.3292,172.9752,80.6,78,40,13.8,scattered clouds
127,Fallon,US,39.4735,-118.7774,85.91,52,40,0.0,scattered clouds
128,Marsh Harbour,BS,26.5412,-77.0636,83.71,75,4,12.06,clear sky
129,Chara,RU,56.9064,118.2631,54.27,87,100,0.65,overcast clouds
130,Okhotsk,RU,59.3833,143.3,56.37,93,100,4.41,overcast clouds
131,Gonda,IN,27.1333,81.9333,85.26,65,95,18.37,overcast clouds
132,Hasaki,JP,35.7333,140.8333,79.29,89,94,15.26,overcast clouds
133,Eydhafushi,MV,5.1033,73.0708,81.36,84,44,11.59,scattered clouds
