City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Sragen,ID,75.52,broken clouds,-7.4264,111.0222,Graha Hotel Sragen
78,Fairbanks,US,53.1,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
79,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
82,Nikolskoye,RU,66.09,few clouds,59.7035,30.7861,Tourist House - Sablino
83,Mar Del Plata,AR,57.94,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Kalianget,ID,80.71,broken clouds,-7.05,113.9333,Pesanggrahan Garam
85,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
86,Sitka,US,57.09,overcast clouds,57.0531,-135.33,Westmark Sitka
87,Labuhan,ID,77.67,broken clouds,-6.8844,112.2051,DoubleFAG
88,Tukrah,LY,82.29,clear sky,32.5341,20.5791,Lagrota restaurant
89,East London,ZA,64.11,broken clouds,-33.0153,27.9116,Tu Casa
91,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
92,Gonen,TR,76.96,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
93,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
95,Baruun-Urt,MN,58.12,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
96,Mitsamiouli,KM,76.35,scattered clouds,-11.3847,43.2844,Foyer ADM
97,Laguna,US,81.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
98,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
99,Rikitea,PF,73.06,overcast clouds,-23.1203,-134.9692,People ThankYou
100,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
101,Cayeli,TR,77.25,broken clouds,41.0923,40.7292,Grand Cavusoglu Hotel
105,Kavieng,PG,79.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
106,Nome,US,48.27,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
107,Kanye,BW,58.89,clear sky,-24.9667,25.3327,The Savanna Lodge
108,Petropavl,KZ,61.83,broken clouds,54.8753,69.1628,Отель GREENWICH
109,Gweta,BW,69.33,clear sky,-20.1833,25.2333,Gweta Lodge
111,Vicksburg,US,87.53,broken clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
112,Khatanga,RU,45.3,overcast clouds,71.9667,102.5,"""Khatanga"""
113,Abu Kamal,SY,94.48,clear sky,34.4506,40.9171,البوكمال
114,Gujrat,PK,91.36,clear sky,32.5728,74.079,Aziz Butt
115,Jacmel,HT,91.24,clear sky,18.2342,-72.5347,Historic Hotel Florita
117,Itoman,JP,84.22,haze,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
118,Port Elizabeth,ZA,59.31,broken clouds,-33.918,25.5701,39 On Nile Guest House
119,Bad Doberan,DE,75.52,clear sky,54.1071,11.9005,Friedrich-Franz-Palais
120,Shingu,JP,78.3,overcast clouds,33.7333,135.9833,Shingu UI Hotel
121,Esperance,AU,57.07,overcast clouds,-33.8667,121.9,Hospitality Esperance
122,Rio Grande,BR,66.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
123,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
124,Leningradskiy,RU,41.63,overcast clouds,69.3833,178.4167,Gostinitsa
125,Huilong,CN,86.94,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
126,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
127,Fallon,US,85.91,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
128,Marsh Harbour,BS,83.71,clear sky,26.5412,-77.0636,Abaco Beach Resort
131,Gonda,IN,85.26,overcast clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
132,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
133,Eydhafushi,MV,81.36,scattered clouds,5.1033,73.0708,Soneva Fushi
134,Cherskiy,RU,52.43,clear sky,68.75,161.3,Gostinitsa
135,Contai,IN,77.29,moderate rain,21.7786,87.7536,PATHFINDER
136,Necochea,AR,54.99,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
137,Alanya,TR,84.33,scattered clouds,36.5438,31.9998,Panorama Hotel
138,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
139,Pacifica,US,77.67,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
141,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,Le four à pain
142,Tiksi,RU,48.54,overcast clouds,71.6872,128.8694,Arktika
143,Nanortalik,GL,45.75,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
144,Roebourne,AU,64.18,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
145,Bambanglipuro,ID,76.35,broken clouds,-7.95,110.2833,Puri Brata
146,Pevek,RU,36.28,broken clouds,69.7008,170.3133,Severnoye Zoloto
147,Bandarbeyla,SO,77.88,broken clouds,9.4942,50.8122,JABIR HOTEL
148,Salinas,US,80.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
149,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
150,Port Hardy,CA,63.93,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
151,Fengcheng,CN,62.1,clear sky,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
152,Kjollefjord,NO,58.82,light intensity drizzle,70.9457,27.3465,Hotel Nordkyn
153,Pecos,US,95.09,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
154,Tepalcatepec,MX,86.16,overcast clouds,19.1833,-102.85,Maria De Jesus
155,Eskil,TR,76.41,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
156,Atuona,PF,77.59,few clouds,-9.8,-139.0333,Villa Enata
157,Rafraf,TN,82.72,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
158,Ancud,CL,51.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
